,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
24,CD2,SVM,0.8261589872116188,0.0475963408708217,0.7637915444770284,0.2020448780059814,AE50
25,PAR1,RandomForest,0.5909922902494331,0.1048981868780205,0.5691428571428571,5.471826477050781,AE50
26,PAR1,Boosting,0.5868843537414967,0.1389886295018942,0.5442857142857143,1.9804842281341557,AE50
27,PAR1,KNN,0.5848122448979591,0.1101317404886489,0.5614285714285714,0.1950238418579101,AE50
28,PAR1,LogisticRegression,0.6635609977324262,0.1055255216859363,0.6292380952380952,0.2218697261810302,AE50
29,PAR1,SVM,0.5986920634920635,0.1582367952644019,0.6158095238095238,0.1983643436431884,AE50
30,PAR2,RandomForest,0.7243542665554861,0.0647054223294247,0.659862452443664,6.240279941558838,AE50
31,PAR2,Boosting,0.7214436105899522,0.0687901968824086,0.6689629393141245,2.795346612930298,AE50
32,PAR2,KNN,0.6480916023903828,0.0493079430120203,0.601729055258467,0.2359927082061767,AE50
33,PAR2,LogisticRegression,0.7291466541588493,0.0586492590441396,0.6695865591826963,0.2060063171386718,AE50
34,PAR2,SVM,0.7590908206517962,0.0552513933019495,0.6307388192726208,0.3183912944793701,AE50
35,PAR3,RandomForest,0.7413719536844536,0.0451118568835246,0.6744769559308871,7.081227331161499,AE50
36,PAR3,Boosting,0.7261471760221759,0.0436106566750526,0.6974293923509998,3.4777795314788817,AE50
37,PAR3,KNN,0.6807848124566875,0.0423570171039306,0.6532145214521452,0.2709015560150146,AE50
38,PAR3,LogisticRegression,0.7403335210210209,0.0451092966195011,0.7068997864492331,0.2662200260162353,AE50
39,PAR3,SVM,0.7613383864633865,0.0385350721716501,0.6922568821588041,0.4102918720245361,AE50
